pl_name,disc_year,discoverymethod
"HD 208527 b",2012,"Radial Velocity"
"WASP-42 b",2012,"Transit"
"HD 77338 b",2012,"Radial Velocity"
"HD 37605 c",2012,"Radial Velocity"
"HD 5608 b",2012,"Radial Velocity"
"Kepler-52 c",2012,"Transit"
"HAT-P-43 b",2012,"Transit"
"RR Cae b",2012,"Eclipse Timing Variations"
"GJ 3470 b",2012,"Radial Velocity"
"HAT-P-40 b",2012,"Transit"
"Kepler-48 c",2012,"Transit"
"Kepler-53 c",2012,"Transit"
"Kepler-53 b",2012,"Transit"
"MOA-2010-BLG-073L b",2012,"Microlensing"
"OGLE-2011-BLG-0251L b",2012,"Microlensing"
"MOA-2011-BLG-293L b",2012,"Microlensing"
"Pr0201 b",2012,"Radial Velocity"
"kap And b",2012,"Imaging"
"omi CrB b",2012,"Radial Velocity"
"WASP-67 b",2012,"Transit"
"Kepler-21 b",2012,"Transit"
"Kepler-54 c",2012,"Transit"
"Kepler-51 c",2012,"Transit"
"Kepler-36 b",2012,"Transit"
"Kepler-52 b",2012,"Transit"
"HD 207832 c",2012,"Radial Velocity"
"HAT-P-41 b",2012,"Transit"
"Kepler-65 c",2012,"Transit"
"Kepler-65 d",2012,"Transit"
"Kepler-50 b",2012,"Transit"
"Kepler-83 b",2012,"Transit"
"Kepler-83 c",2012,"Transit"
"BD+20 274 b",2012,"Radial Velocity"
"HAT-P-39 b",2012,"Transit"
"WASP-64 b",2012,"Transit"
"nu Oph b",2012,"Radial Velocity"
"HAT-P-38 b",2012,"Transit"
"HD 66141 b",2012,"Radial Velocity"
"Kepler-32 d",2012,"Transit"
"Kepler-50 c",2012,"Transit"
"Kepler-47 c",2012,"Transit"
"Kepler-54 b",2012,"Transit"
"Kepler-55 c",2012,"Transit"
"Kepler-81 c",2012,"Transit"
"Kepler-80 b",2012,"Transit"
"Kepler-57 b",2012,"Transit"
"Kepler-59 c",2012,"Transit"
"Kepler-82 c",2012,"Transit"
"Kepler-81 b",2012,"Transit"
"Kepler-82 b",2012,"Transit"
"Kepler-47 b",2012,"Transit"
"75 Cet b",2012,"Radial Velocity"
"WASP-80 b",2012,"Transit"
"WASP-58 b",2012,"Transit"
"Kepler-46 c",2012,"Transit Timing Variations"
"Kepler-32 e",2012,"Transit"
"Kepler-57 c",2012,"Transit"
"Kepler-58 c",2012,"Transit"
"Kepler-60 d",2012,"Transit"
"Kepler-30 c",2012,"Transit"
"Kepler-55 b",2012,"Transit"
"KELT-1 b",2012,"Transit"
"Kepler-51 b",2012,"Transit"
"Kepler-85 b",2012,"Transit"
"Kepler-30 b",2012,"Transit"
"Kepler-79 b",2012,"Transit"
"CoRoT-21 b",2012,"Transit"
"HD 150706 b",2012,"Radial Velocity"
"Kepler-56 c",2012,"Transit"
"WASP-66 b",2012,"Transit"
"Kepler-49 c",2012,"Transit"
"Kepler-84 c",2012,"Transit"
"HD 4732 c",2012,"Radial Velocity"
"HD 106515 A b",2012,"Radial Velocity"
"HATS-1 b",2012,"Transit"
"Kepler-79 c",2012,"Transit"
"WASP-71 b",2012,"Transit"
"WASP-49 b",2012,"Transit"
"HD 142 c",2012,"Radial Velocity"
"Kepler-38 b",2012,"Transit"
"WASP-57 b",2012,"Transit"
"Kepler-48 b",2012,"Transit"
"Kepler-32 f",2012,"Transit"
"HD 219077 b",2012,"Radial Velocity"
"GJ 676 A e",2012,"Radial Velocity"
"HAT-P-42 b",2012,"Transit"
"nu Oph c",2012,"Radial Velocity"
"OGLE-2012-BLG-0026L b",2012,"Microlensing"
"HD 159868 c",2012,"Radial Velocity"
"HD 197037 b",2012,"Radial Velocity"
"Kepler-56 b",2012,"Transit"
"MOA-bin-1L b",2012,"Microlensing"
"MOA-2010-BLG-477L b",2012,"Microlensing"
"HD 166724 b",2012,"Radial Velocity"
"GJ 676 A d",2012,"Radial Velocity"
"HD 220074 b",2012,"Radial Velocity"
"WASP-47 b",2012,"Transit"
"Pr0211 b",2012,"Radial Velocity"
"HD 98649 b",2012,"Radial Velocity"
"Kepler-59 b",2012,"Transit"
"Kepler-58 b",2012,"Transit"
"omi UMa b",2012,"Radial Velocity"
"Kepler-85 c",2012,"Transit"
"Kepler-65 b",2012,"Transit"
"HW Vir b",2012,"Eclipse Timing Variations"
"Kepler-84 b",2012,"Transit"
"WASP-41 b",2012,"Transit"
"Kepler-80 c",2012,"Transit"
"eps CrB b",2012,"Radial Velocity"
"WTS-1 b",2012,"Transit"
"WASP-52 b",2012,"Transit"
"WASP-56 b",2012,"Transit"
"WASP-54 b",2012,"Transit"
"WASP-55 b",2012,"Transit"
"WASP-59 b",2012,"Transit"
"WASP-60 b",2012,"Transit"
"WASP-61 b",2012,"Transit"
"WASP-62 b",2012,"Transit"
"WASP-63 b",2012,"Transit"
"WASP-72 b",2012,"Transit"
"PH1 b",2012,"Transit"
"WISEP J121756.91+162640.2 A b",2012,"Imaging"
"OGLE-2012-BLG-0026L c",2012,"Microlensing"
"Kepler-30 d",2012,"Transit"
"Kepler-36 c",2012,"Transit"
"WASP-78 b",2012,"Transit"
"Kepler-46 b",2012,"Transit"
"Kepler-49 b",2012,"Transit"
"HD 27631 b",2012,"Radial Velocity"
"HD 196067 b",2012,"Radial Velocity"
"HD 207832 b",2012,"Radial Velocity"
"KELT-2 A b",2012,"Transit"
"WASP-77 A b",2012,"Transit"
"WASP-79 b",2012,"Transit"
"HD 219415 b",2012,"Radial Velocity"
"HD 4732 b",2012,"Radial Velocity"
"Kepler-60 b",2012,"Transit"
"Kepler-60 c",2012,"Transit"
"Kepler-396 c",2013,"Transit"
"Kepler-105 b",2013,"Transit"
"KOI-94 c",2013,"Transit"
"Kepler-128 c",2013,"Transit"
"HD 2952 b",2013,"Radial Velocity"
"HD 109271 b",2013,"Radial Velocity"
"HD 13908 b",2013,"Radial Velocity"
"HD 113337 b",2013,"Radial Velocity"
"BD-06 1339 c",2013,"Radial Velocity"
"KOI-351 c",2013,"Transit"
"KOI-351 e",2013,"Transit"
"Kepler-102 e",2013,"Transit"
"Kepler-91 b",2013,"Transit"
"CoRoT-25 b",2013,"Transit"
"HATS-3 b",2013,"Transit"
"WASP-65 b",2013,"Transit"
"WASP-75 b",2013,"Transit"
"Kepler-62 e",2013,"Transit"
"Kepler-62 f",2013,"Transit"
"Kepler-68 b",2013,"Transit"
"Kepler-75 b",2013,"Transit"
"Kepler-69 b",2013,"Transit"
"Kepler-76 b",2013,"Orbital Brightness Modulation"
"Kepler-277 c",2013,"Transit"
"Kepler-74 b",2013,"Transit"
"Kepler-66 b",2013,"Transit"
"Kepler-92 b",2013,"Transit"
"MOA-2011-BLG-322L b",2013,"Microlensing"
"ROXs 12 b",2013,"Imaging"
"GJ 667 C g",2013,"Radial Velocity"
"Kepler-282 d",2013,"Transit"
"Kepler-350 d",2013,"Transit"
"Kepler-37 d",2013,"Transit"
"Kepler-410 A b",2013,"Transit"
"Kepler-411 b",2013,"Transit"
"Kepler-37 c",2013,"Transit"
"Kepler-305 b",2013,"Transit"
"Kepler-276 d",2013,"Transit"
"Kepler-67 b",2013,"Transit"
"KOI-94 b",2013,"Transit"
"KOI-351 d",2013,"Transit"
"KOI-94 e",2013,"Transit"
"Kepler-114 c",2013,"Transit"
"Kepler-87 c",2013,"Transit"
"Kepler-68 c",2013,"Transit"
"Kepler-328 b",2013,"Transit"
"KOI-142 b",2013,"Transit"
"HIP 91258 b",2013,"Radial Velocity"
"CoRoT-26 b",2013,"Transit"
"Kepler-279 c",2013,"Transit"
"2MASS J01033563-5515561 AB b",2013,"Imaging"
"HD 65216 c",2013,"Radial Velocity"
"BD-06 1339 b",2013,"Radial Velocity"
"BD+15 2940 b",2013,"Radial Velocity"
"HD 95086 b",2013,"Imaging"
"Kepler-276 c",2013,"Transit"
"Kepler-145 c",2013,"Transit"
"DENIS-P J082303.1-491201 b",2013,"Astrometry"
"HIP 63242 b",2013,"Radial Velocity"
"GJ 504 b",2013,"Imaging"
"2MASS J01225093-2439505 b",2013,"Imaging"
"HD 40307 f",2013,"Radial Velocity"
"KOI-351 f",2013,"Transit"
"HD 106906 b",2013,"Imaging"
"OGLE-2012-BLG-0358L b",2013,"Microlensing"
"POTS-1 b",2013,"Transit"
"PH2 b",2013,"Transit"
"GJ 163 b",2013,"Radial Velocity"
"HD 159243 c",2013,"Radial Velocity"
"Kepler-87 b",2013,"Transit"
"Kepler-277 b",2013,"Transit"
"Kepler-37 b",2013,"Transit"
"Kepler-350 c",2013,"Transit"
"Kepler-177 c",2013,"Transit"
"Kepler-69 c",2013,"Transit"
"Kepler-61 b",2013,"Transit"
"Kepler-114 d",2013,"Transit"
"Kepler-68 d",2013,"Radial Velocity"
"KOI-351 g",2013,"Transit"
"Kepler-307 c",2013,"Transit"
"Kepler-307 b",2013,"Transit"
"HD 285507 b",2013,"Radial Velocity"
"GJ 328 b",2013,"Radial Velocity"
"Kepler-92 c",2013,"Transit"
"HATS-2 b",2013,"Transit"
"KOI-142 c",2013,"Transit"
"GJ 163 d",2013,"Radial Velocity"
"KOI-94 d",2013,"Transit"
"Kepler-77 b",2013,"Transit"
"HD 233604 b",2013,"Radial Velocity"
"KELT-3 b",2013,"Transit"
"Kepler-279 d",2013,"Transit"
"Kepler-78 b",2013,"Transit"
"HD 40307 g",2013,"Radial Velocity"
"MOA-2010-BLG-328L b",2013,"Microlensing"
"WASP-8 c",2013,"Radial Velocity"
"KOI-351 b",2013,"Transit"
"Kepler-177 b",2013,"Transit"
"Kepler-282 e",2013,"Transit"
"Kepler-305 c",2013,"Transit"
"Kepler-128 b",2013,"Transit"
"Kepler-238 f",2013,"Transit"
"Kepler-328 c",2013,"Transit"
"Kepler-396 b",2013,"Transit"
"HD 109271 c",2013,"Radial Velocity"
"HD 120084 b",2013,"Radial Velocity"
"HD 103774 b",2013,"Radial Velocity"
"HD 159243 b",2013,"Radial Velocity"
"KOI-351 h",2013,"Transit"
"Kepler-145 b",2013,"Transit"
"91 Aqr b",2013,"Radial Velocity"
"HD 13908 c",2013,"Radial Velocity"
"Kepler-63 b",2013,"Transit"
"Kepler-62 d",2013,"Transit"
"MOA-2008-BLG-379L b",2013,"Microlensing"
"OGLE-2012-BLG-0406L b",2013,"Microlensing"
"ROXs 42 B b",2013,"Imaging"
"ome Ser b",2013,"Radial Velocity"
"tau Gem b",2013,"Radial Velocity"
"GJ 163 c",2013,"Radial Velocity"
"GJ 667 C f",2013,"Radial Velocity"
"GJ 667 C e",2013,"Radial Velocity"
"Kepler-238 e",2013,"Transit"
"Kepler-62 b",2013,"Transit"
"Kepler-62 c",2013,"Transit"
"Kepler-214 b",2014,"Transit"
"Kepler-232 c",2014,"Transit"
"Kepler-330 c",2014,"Transit"
"Kepler-127 d",2014,"Transit"
"Kepler-409 b",2014,"Transit"
"Kepler-82 e",2014,"Transit"
"Kepler-247 b",2014,"Transit"
"Kepler-303 b",2014,"Transit"
"Kepler-334 c",2014,"Transit"
"Kepler-325 b",2014,"Transit"
"Kepler-104 c",2014,"Transit"
"Kepler-300 c",2014,"Transit"
"GJ 27.1 b",2014,"Radial Velocity"
"Kepler-306 c",2014,"Transit"
"Kepler-317 b",2014,"Transit"
"Kepler-299 c",2014,"Transit"
"Kepler-295 b",2014,"Transit"
"Kepler-311 b",2014,"Transit"
"Kepler-338 b",2014,"Transit"
"Kepler-384 b",2014,"Transit"
"Kepler-221 d",2014,"Transit"
"Kepler-329 b",2014,"Transit"
"Kepler-132 d",2014,"Transit"
"Kepler-385 c",2014,"Transit"
"Kepler-138 d",2014,"Transit"
"Kepler-165 c",2014,"Transit"
"Kepler-197 d",2014,"Transit"
"Kepler-123 b",2014,"Transit"
"Kepler-393 c",2014,"Transit"
"Kepler-263 c",2014,"Transit"
"Kepler-237 c",2014,"Transit"
"Kepler-169 e",2014,"Transit"
"Kepler-219 c",2014,"Transit"
"Kepler-113 b",2014,"Transit"
"Kepler-382 b",2014,"Transit"
"Kepler-255 c",2014,"Transit"
"Kepler-248 b",2014,"Transit"
"GJ 180 c",2014,"Radial Velocity"
"GJ 229 b",2014,"Radial Velocity"
"Kepler-79 d",2014,"Transit"
"Kepler-106 d",2014,"Transit"
"Kepler-81 d",2014,"Transit"
"Kepler-262 b",2014,"Transit"
"Kepler-414 c",2014,"Transit Timing Variations"
"Kepler-288 d",2014,"Transit"
"Kepler-252 b",2014,"Transit"
"Kepler-401 c",2014,"Transit"
"Kepler-392 b",2014,"Transit"
"Kepler-185 b",2014,"Transit"
"Kepler-417 c",2014,"Transit Timing Variations"
"Kepler-106 e",2014,"Transit"
"Kepler-187 b",2014,"Transit"
"Kepler-206 d",2014,"Transit"
"Kepler-345 b",2014,"Transit"
"Kepler-353 b",2014,"Transit"
"Kepler-285 c",2014,"Transit"
"Kepler-191 c",2014,"Transit"
"Kepler-366 c",2014,"Transit"
"Kepler-367 c",2014,"Transit"
"Kepler-298 c",2014,"Transit"
"Kepler-136 b",2014,"Transit"
"Kepler-324 b",2014,"Transit"
"Kepler-384 c",2014,"Transit"
"Kepler-400 b",2014,"Transit"
"Kepler-206 b",2014,"Transit"
"Kepler-84 e",2014,"Transit"
"Kepler-250 b",2014,"Transit"
"Kepler-239 b",2014,"Transit"
"Kepler-184 b",2014,"Transit"
"Kepler-121 b",2014,"Transit"
"Kepler-248 c",2014,"Transit"
"Kepler-386 b",2014,"Transit"
"Kepler-390 c",2014,"Transit"
"Kepler-151 b",2014,"Transit"
"Kepler-143 b",2014,"Transit"
"Kepler-200 b",2014,"Transit"
"Kepler-235 b",2014,"Transit"
"Kepler-347 c",2014,"Transit"
"Kepler-109 b",2014,"Transit"
"Kepler-166 b",2014,"Transit"
"Kepler-192 b",2014,"Transit"
"Kepler-164 b",2014,"Transit"
"Kepler-150 c",2014,"Transit"
"Kepler-243 b",2014,"Transit"
"Kepler-354 c",2014,"Transit"
"Kepler-207 d",2014,"Transit"
"Kepler-164 c",2014,"Transit"
"Kepler-146 c",2014,"Transit"
"Kepler-166 c",2014,"Transit"
"GJ 15 A b",2014,"Radial Velocity"
"HD 14067 b",2014,"Radial Velocity"
"Kepler-265 c",2014,"Transit"
"NGC 2682 YBP 1514 b",2014,"Radial Velocity"
"HAT-P-45 b",2014,"Transit"
"bet Cnc b",2014,"Radial Velocity"
"mu Leo b",2014,"Radial Velocity"
"Kepler-419 c",2014,"Transit Timing Variations"
"Kepler-121 c",2014,"Transit"
"Kepler-130 b",2014,"Transit"
"Kepler-102 d",2014,"Transit"
"Kepler-162 b",2014,"Transit"
"Kepler-183 b",2014,"Transit"
"Kepler-286 b",2014,"Transit"
"Kepler-153 b",2014,"Transit"
"Kepler-186 b",2014,"Transit"
"Kepler-188 c",2014,"Transit"
"Kepler-187 c",2014,"Transit"
"Kepler-188 b",2014,"Transit"
"Kepler-190 b",2014,"Transit"
"Kepler-201 b",2014,"Transit"
"Kepler-203 b",2014,"Transit"
"Kepler-207 c",2014,"Transit"
"Kepler-221 c",2014,"Transit"
"Kepler-160 c",2014,"Transit"
"Kepler-158 c",2014,"Transit"
"Kepler-205 b",2014,"Transit"
"Kepler-212 b",2014,"Transit"
"Kepler-221 e",2014,"Transit"
"Kepler-189 c",2014,"Transit"
"Kepler-160 b",2014,"Transit"
"Kepler-158 b",2014,"Transit"
"Kepler-223 d",2014,"Transit"
"Kepler-208 b",2014,"Transit"
"Kepler-161 b",2014,"Transit"
"Kepler-229 b",2014,"Transit"
"Kepler-208 d",2014,"Transit"
"Kepler-161 c",2014,"Transit"
"Kepler-216 b",2014,"Transit"
"Kepler-220 b",2014,"Transit"
"Kepler-208 e",2014,"Transit"
"Kepler-209 c",2014,"Transit"
"Kepler-210 b",2014,"Transit"
"Kepler-210 c",2014,"Transit"
"Kepler-221 b",2014,"Transit"
"Kepler-184 d",2014,"Transit"
"Kepler-241 c",2014,"Transit"
"Kepler-195 c",2014,"Transit"
"Kepler-242 c",2014,"Transit"
"Kepler-172 c",2014,"Transit"
"Kepler-196 b",2014,"Transit"
"Kepler-327 c",2014,"Transit"
"Kepler-322 b",2014,"Transit"
"Kepler-313 b",2014,"Transit"
"Kepler-301 d",2014,"Transit"
"Kepler-296 f",2014,"Transit"
"Kepler-297 b",2014,"Transit"
"Kepler-301 b",2014,"Transit"
"Kepler-275 b",2014,"Transit"
"Kepler-247 d",2014,"Transit"
"HD 141399 e",2014,"Radial Velocity"
"HIP 105854 b",2014,"Radial Velocity"
"HIP 116454 b",2014,"Transit"
"HD 108341 b",2014,"Radial Velocity"
"KELT-6 b",2014,"Transit"
"Kepler-100 d",2014,"Transit"
"Kepler-149 b",2014,"Transit"
"Kepler-101 b",2014,"Transit"
"Kepler-103 b",2014,"Transit"
"Kapteyn c",2014,"Radial Velocity"
"Kepler-127 b",2014,"Transit"
"Kepler-149 c",2014,"Transit"
"Kepler-129 b",2014,"Transit"
"Kepler-107 c",2014,"Transit"
"Kepler-111 b",2014,"Transit"
"Kepler-111 c",2014,"Transit"
"Kepler-156 b",2014,"Transit"
"Kepler-337 b",2014,"Transit"
"Kepler-245 b",2014,"Transit"
"Kepler-212 c",2014,"Transit"
"Kepler-214 c",2014,"Transit"
"Kepler-215 b",2014,"Transit"
"Kepler-217 c",2014,"Transit"
"Kepler-229 d",2014,"Transit"
"Kepler-23 d",2014,"Transit"
"Kepler-236 b",2014,"Transit"
"Kepler-326 d",2014,"Transit"
"Kepler-238 c",2014,"Transit"
"Kepler-245 c",2014,"Transit"
"Kepler-205 c",2014,"Transit"
"Kepler-206 c",2014,"Transit"
"Kepler-208 c",2014,"Transit"
"Kepler-216 c",2014,"Transit"
"Kepler-224 c",2014,"Transit"
"Kepler-224 d",2014,"Transit"
"Kepler-243 c",2014,"Transit"
"Kepler-232 b",2014,"Transit"
"Kepler-245 d",2014,"Transit"
"Kepler-230 c",2014,"Transit"
"Kepler-249 d",2014,"Transit"
"Kepler-24 d",2014,"Transit"
"Kepler-246 b",2014,"Transit"
"Kepler-246 c",2014,"Transit"
"Kepler-256 d",2014,"Transit"
"Kepler-26 d",2014,"Transit"
"Kepler-262 c",2014,"Transit"
"Kepler-228 c",2014,"Transit"
"Kepler-230 b",2014,"Transit"
"Kepler-254 c",2014,"Transit"
"Kepler-255 b",2014,"Transit"
"Kepler-256 b",2014,"Transit"
"Kepler-257 b",2014,"Transit"
"Kepler-257 d",2014,"Transit"
"Kepler-258 b",2014,"Transit"
"Kepler-259 c",2014,"Transit"
"Kepler-26 e",2014,"Transit"
"Kepler-254 b",2014,"Transit"
"Kepler-265 b",2014,"Transit"
"Kepler-267 c",2014,"Transit"
"Kepler-306 e",2014,"Transit"
"Kepler-231 c",2014,"Transit"
"Kepler-265 e",2014,"Transit"
"Kepler-292 b",2014,"Transit"
"Kepler-271 c",2014,"Transit"
"Kepler-286 c",2014,"Transit"
"Kepler-286 e",2014,"Transit"
"Kepler-271 b",2014,"Transit"
"Kepler-272 b",2014,"Transit"
"Kepler-278 b",2014,"Transit"
"Kepler-292 c",2014,"Transit"
"Kepler-282 b",2014,"Transit"
"Kepler-157 c",2014,"Transit"
"Kepler-126 b",2014,"Transit"
"Kepler-150 d",2014,"Transit"
"Kepler-148 c",2014,"Transit"
"Kepler-132 b",2014,"Transit"
"Kepler-131 c",2014,"Transit"
"Kepler-133 c",2014,"Transit"
"Kepler-134 c",2014,"Transit"
"Kepler-142 b",2014,"Transit"
"Kepler-150 b",2014,"Transit"
"Kepler-153 c",2014,"Transit"
"TYC 1422-614-1 c",2014,"Radial Velocity"
"Kepler-266 b",2014,"Transit"
"Kepler-197 b",2014,"Transit"
"WASP-98 b",2014,"Transit"
"Kepler-293 b",2014,"Transit"
"Kepler-275 d",2014,"Transit"
"Kepler-280 c",2014,"Transit"
"Kepler-282 c",2014,"Transit"
"Kepler-283 b",2014,"Transit"
"Kepler-295 d",2014,"Transit"
"Kepler-289 c",2014,"Transit"
"Kepler-293 c",2014,"Transit"
"Kepler-302 b",2014,"Transit"
"Kepler-294 b",2014,"Transit"
"Kepler-295 c",2014,"Transit"
"Kepler-290 c",2014,"Transit"
"Kepler-291 b",2014,"Transit"
"Kepler-298 b",2014,"Transit"
"Kepler-311 c",2014,"Transit"
"Kepler-423 b",2014,"Transit"
"Kepler-392 c",2014,"Transit"
"Kepler-334 d",2014,"Transit"
"Kepler-335 c",2014,"Transit"
"Kepler-336 d",2014,"Transit"
"Kepler-337 c",2014,"Transit"
"Kepler-339 d",2014,"Transit"
"Kepler-342 b",2014,"Transit"
"Kepler-343 c",2014,"Transit"
"Kepler-344 c",2014,"Transit"
"Kepler-357 d",2014,"Transit"
"Kepler-348 b",2014,"Transit"
"Kepler-349 c",2014,"Transit"
"Kepler-323 b",2014,"Transit"
"Kepler-332 d",2014,"Transit"
"Kepler-377 c",2014,"Transit"
"Kepler-355 b",2014,"Transit"
"Kepler-355 c",2014,"Transit"
"Kepler-350 b",2014,"Transit"
"Kepler-341 d",2014,"Transit"
"Kepler-345 c",2014,"Transit"
"Kepler-427 b",2014,"Transit"
"Kepler-373 b",2014,"Transit"
"Kepler-373 c",2014,"Transit"
"Kepler-371 b",2014,"Transit"
"Kepler-383 b",2014,"Transit"
"Kepler-383 c",2014,"Transit"
"Kepler-365 b",2014,"Transit"
"Kepler-404 b",2014,"Transit"
"Kepler-387 b",2014,"Transit"
"Kepler-387 c",2014,"Transit"
"Kepler-388 b",2014,"Transit"
"Kepler-388 c",2014,"Transit"
"Kepler-354 d",2014,"Transit"
"Kepler-414 b",2014,"Transit Timing Variations"
"Kepler-418 b",2014,"Transit"
"Kepler-37 e",2014,"Transit Timing Variations"
"Kepler-421 b",2014,"Transit"
"Kepler-369 c",2014,"Transit"
"Kepler-358 c",2014,"Transit"
"Kepler-285 b",2014,"Transit"
"Kepler-287 b",2014,"Transit"
"Kepler-288 b",2014,"Transit"
"Kepler-150 e",2014,"Transit"
"Kepler-244 d",2014,"Transit"
"Kepler-359 c",2014,"Transit"
"Kepler-385 b",2014,"Transit"
"Kepler-398 c",2014,"Transit"
"Kepler-374 d",2014,"Transit"
"Kepler-46 d",2014,"Transit"
"Kepler-273 c",2014,"Transit"
"Kepler-275 c",2014,"Transit"
"Kepler-274 c",2014,"Transit"
"Kepler-97 c",2014,"Radial Velocity"
"Kepler-80 d",2014,"Transit"
"Kepler-55 d",2014,"Transit"
"Kepler-94 b",2014,"Transit"
"Kepler-84 f",2014,"Transit"
"CoRoT-24 c",2014,"Transit"
"Kepler-256 e",2014,"Transit"
"HD 114613 b",2014,"Radial Velocity"
"HD 141399 c",2014,"Radial Velocity"
"WASP-99 b",2014,"Transit"
"WASP-68 b",2014,"Transit"
"GJ 682 b",2014,"Radial Velocity"
"WASP-117 b",2014,"Transit"
"Kepler-117 b",2014,"Transit"
"Kepler-110 b",2014,"Transit"
"Kepler-117 c",2014,"Transit"
"Kepler-110 c",2014,"Transit"
"Kepler-281 c",2014,"Transit"
"Kepler-272 d",2014,"Transit"
"Kepler-296 b",2014,"Transit"
"Kepler-299 e",2014,"Transit"
"Kepler-304 b",2014,"Transit"
"Kepler-319 c",2014,"Transit"
"Kepler-172 d",2014,"Transit"
"Kepler-176 d",2014,"Transit"
"Kepler-179 c",2014,"Transit"
"Kepler-318 b",2014,"Transit"
"Kepler-181 c",2014,"Transit"
"Kepler-296 c",2014,"Transit"
"Kepler-319 d",2014,"Transit"
"Kepler-318 c",2014,"Transit"
"Kepler-317 c",2014,"Transit"
"Kepler-213 c",2014,"Transit"
"Kepler-319 b",2014,"Transit"
"Kepler-316 c",2014,"Transit"
"Kepler-390 b",2014,"Transit"
"Kepler-374 c",2014,"Transit"
"Kepler-378 c",2014,"Transit"
"Kepler-279 b",2014,"Transit"
"Kepler-346 b",2014,"Transit"
"Kepler-48 d",2014,"Transit"
"Kepler-283 c",2014,"Transit"
"Kepler-58 d",2014,"Transit"
"Kepler-284 c",2014,"Transit"
"Kepler-85 e",2014,"Transit"
"NGC 2682 YBP 1194 b",2014,"Radial Velocity"
"OGLE-2008-BLG-092L b",2014,"Microlensing"
"Kepler-93 c",2014,"Radial Velocity"
"Kepler-96 b",2014,"Transit"
"Kepler-85 d",2014,"Transit"
"CoRoT-27 b",2014,"Transit"
"Kepler-97 b",2014,"Transit"
"NGC 2682 Sand 364 b",2014,"Radial Velocity"
"GJ 832 c",2014,"Radial Velocity"
"OGLE-2013-BLG-0341L B b",2014,"Microlensing"
"TYC 1422-614-1 b",2014,"Radial Velocity"
"Kepler-157 b",2014,"Transit"
"Kepler-55 e",2014,"Transit"
"Kepler-339 c",2014,"Transit"
"Kepler-341 c",2014,"Transit"
"Kepler-51 d",2014,"Transit"
"Kepler-359 b",2014,"Transit"
"Kepler-382 c",2014,"Transit"
"Kepler-386 c",2014,"Transit"
"Kepler-55 f",2014,"Transit"
"Kepler-412 b",2014,"Transit"
"HIP 97233 b",2014,"Radial Velocity"
"Kepler-124 c",2014,"Transit"
"Kepler-115 c",2014,"Transit"
"Kepler-122 b",2014,"Transit"
"Kepler-116 b",2014,"Transit"
"Kepler-101 c",2014,"Transit"
"Kepler-104 d",2014,"Transit"
"Kepler-107 e",2014,"Transit"
"Kepler-108 c",2014,"Transit"
"Kepler-136 c",2014,"Transit"
"Kepler-112 b",2014,"Transit"
"Kepler-139 b",2014,"Transit"
"Kepler-146 b",2014,"Transit"
"Kepler-135 b",2014,"Transit"
"Kepler-119 b",2014,"Transit"
"Kepler-141 b",2014,"Transit"
"Kepler-141 c",2014,"Transit"
"Kepler-142 c",2014,"Transit"
"Kepler-120 b",2014,"Transit"
"Kepler-138 b",2014,"Transit"
"Kepler-124 b",2014,"Transit"
"Kepler-124 d",2014,"Transit"
"Kepler-109 c",2014,"Transit"
"Kepler-140 b",2014,"Transit"
"Kepler-103 c",2014,"Transit"
"Kepler-104 b",2014,"Transit"
"Kepler-107 b",2014,"Transit"
"Kepler-125 c",2014,"Transit"
"Kepler-172 b",2014,"Transit"
"Kepler-173 c",2014,"Transit"
"Kepler-174 d",2014,"Transit"
"Kepler-178 b",2014,"Transit"
"Kepler-178 c",2014,"Transit"
"Kepler-159 c",2014,"Transit"
"Kepler-184 c",2014,"Transit"
"Kepler-183 c",2014,"Transit"
"Kepler-191 b",2014,"Transit"
"Kepler-194 b",2014,"Transit"
"Kepler-194 d",2014,"Transit"
"Kepler-197 c",2014,"Transit"
"Kepler-105 c",2014,"Transit"
"Kepler-218 b",2014,"Transit"
"Kepler-218 c",2014,"Transit"
"Kepler-219 b",2014,"Transit"
"Kepler-220 e",2014,"Transit"
"GJ 160.2 b",2014,"Radial Velocity"
"GJ 682 c",2014,"Radial Velocity"
"Kepler-102 b",2014,"Transit"
"Kepler-102 c",2014,"Transit"
"Kepler-100 b",2014,"Transit"
"Kepler-102 f",2014,"Transit"
"Kepler-379 c",2014,"Transit"
"Kepler-226 d",2014,"Transit"
"Kepler-361 c",2014,"Transit"
"Kepler-415 b",2014,"Transit Timing Variations"
"Kepler-312 b",2014,"Transit"
"Kepler-314 c",2014,"Transit"
"Kepler-315 b",2014,"Transit"
"Kepler-316 b",2014,"Transit"
"Kepler-320 c",2014,"Transit"
"Kepler-399 b",2014,"Transit"
"Kepler-402 b",2014,"Transit"
"Kepler-402 d",2014,"Transit"
"Kepler-402 e",2014,"Transit"
"Kepler-406 b",2014,"Transit"
"Kepler-407 c",2014,"Radial Velocity"
"Kepler-49 d",2014,"Transit"
"Kepler-425 b",2014,"Transit"
"Kepler-428 b",2014,"Transit"
"Kepler-53 d",2014,"Transit"
"MOA-2011-BLG-262L b",2014,"Microlensing"
"Kepler-95 b",2014,"Transit"
"Kepler-99 b",2014,"Transit"
"CoRoT-24 b",2014,"Transit"
"WASP-69 b",2014,"Transit"
"WASP-70 A b",2014,"Transit"
"Kepler-223 b",2014,"Transit"
