pl_name,discoverymethod,disc_year
"K2-5 b","Transit",2015
"K2-55 b","Transit",2016
"K2-195 c","Transit",2018
"K2-196 b","Transit",2018
"K2-198 b","Transit",2018
"HD 48265 b","Radial Velocity",2008
"Kepler-100 d","Transit",2014
"K2-83 b","Transit",2016
"Kepler-149 b","Transit",2014
"K2-261 b","Transit",2018
"K2-85 b","Transit",2016
"K2-9 b","Transit",2015
"K2-84 b","Transit",2016
"KELT-10 b","Transit",2016
"KMT-2017-BLG-1146L b","Microlensing",2019
"K2-97 b","Transit",2016
"KELT-11 b","Transit",2017
"K2-220 b","Transit",2018
"K2-89 b","Transit",2016
"Kepler-1001 b","Transit",2016
"KIC 5437945 b","Transit",2015
"Kepler-101 b","Transit",2014
"K2-47 b","Transit",2016
"K2-6 b","Transit",2015
"KMT-2018-BLG-1990L b","Microlensing",2019
"KMT-2016-BLG-2142L b","Microlensing",2018
"Kepler-103 b","Transit",2014
"K2-66 b","Transit",2016
"KOI-351 d","Transit",2013
"KELT-4 A b","Transit",2016
"KOI-94 e","Transit",2013
"Kapteyn c","Radial Velocity",2014
"KOI-3680 b","Transit",2018
"Kepler-127 b","Transit",2014
"Kepler-1227 b","Transit",2016
"Kepler-1480 b","Transit",2016
"Kepler-1274 b","Transit",2016
"Kepler-1275 b","Transit",2016
"Kepler-1262 b","Transit",2016
"Kepler-1491 b","Transit",2016
"Kepler-149 c","Transit",2014
"Kepler-129 b","Transit",2014
"Kepler-1284 b","Transit",2016
"Kepler-1049 b","Transit",2016
"Kepler-1051 b","Transit",2016
"Kepler-1076 b","Transit",2016
"Kepler-1079 b","Transit",2016
"Kepler-1057 b","Transit",2016
"Kepler-1065 b","Transit",2016
"Kepler-1068 b","Transit",2016
"Kepler-1069 b","Transit",2016
"Kepler-1099 b","Transit",2016
"Kepler-1102 b","Transit",2016
"Kepler-1040 b","Transit",2016
"Kepler-1058 b","Transit",2016
"Kepler-1067 b","Transit",2016
"Kepler-107 c","Transit",2014
"Kepler-1074 b","Transit",2016
"Kepler-1078 b","Transit",2016
"Kepler-1093 c","Transit",2016
"Kepler-1101 b","Transit",2016
"Kepler-111 b","Transit",2014
"Kepler-111 c","Transit",2014
"Kepler-1106 b","Transit",2016
"Kepler-1103 b","Transit",2016
"Kepler-1105 b","Transit",2016
"Kepler-1107 b","Transit",2016
"Kepler-1108 b","Transit",2016
"Kepler-1115 b","Transit",2016
"Kepler-1119 b","Transit",2016
"Kepler-1139 b","Transit",2016
"Kepler-1141 b","Transit",2016
"Kepler-1142 b","Transit",2016
"Kepler-114 c","Transit",2013
"Kepler-1122 b","Transit",2016
"Kepler-1143 b","Transit",2016
"Kepler-1186 b","Transit",2016
"Kepler-156 b","Transit",2014
"Kepler-1560 b","Transit",2016
"Kepler-1562 b","Transit",2016
"Kepler-157 c","Transit",2014
"Kepler-1182 b","Transit",2016
"Kepler-1184 b","Transit",2016
"Kepler-1209 b","Transit",2016
"Kepler-1198 b","Transit",2016
"Kepler-1572 b","Transit",2016
"Kepler-1573 b","Transit",2016
"Kepler-1230 b","Transit",2016
"Kepler-1212 b","Transit",2016
"Kepler-1254 b","Transit",2016
"Kepler-1259 b","Transit",2016
"Kepler-126 b","Transit",2014
"Kepler-1489 b","Transit",2016
"Kepler-1214 b","Transit",2016
"Kepler-150 d","Transit",2014
"Kepler-1500 b","Transit",2016
"Kepler-148 c","Transit",2014
"Kepler-1530 c","Transit",2016
"Kepler-154 e","Transit",2016
"Kepler-1484 b","Transit",2016
"Kepler-1519 b","Transit",2016
"Kepler-1532 b","Transit",2016
"Kepler-1515 b","Transit",2016
"Kepler-157 d","Transit",2016
"Kepler-476 b","Transit",2016
"Kepler-478 b","Transit",2016
"Kepler-1496 b","Transit",2016
"Kepler-1497 b","Transit",2016
"Kepler-1517 b","Transit",2016
"Kepler-1569 b","Transit",2016
"Kepler-1571 b","Transit",2016
"Kepler-1440 b","Transit",2016
"Kepler-132 b","Transit",2014
"Kepler-1322 b","Transit",2016
"Kepler-1337 b","Transit",2016
"Kepler-1502 b","Transit",2016
"Kepler-1302 b","Transit",2016
"Kepler-1511 b","Transit",2016
"Kepler-1311 c","Transit",2016
"Kepler-1584 b","Transit",2016
"Kepler-1294 b","Transit",2016
"Kepler-1297 b","Transit",2016
"Kepler-1298 b","Transit",2016
"Kepler-131 c","Transit",2014
"Kepler-1316 b","Transit",2016
"Kepler-1335 b","Transit",2016
"Kepler-1576 b","Transit",2016
"Kepler-1490 b","Transit",2016
"Kepler-1512 b","Transit",2016
"Kepler-1338 b","Transit",2016
"Kepler-1323 b","Transit",2016
"Kepler-1498 b","Transit",2016
"Kepler-1499 b","Transit",2016
"Kepler-133 c","Transit",2014
"Kepler-1336 c","Transit",2016
"Kepler-134 c","Transit",2014
"Kepler-1355 b","Transit",2016
"Kepler-1513 b","Transit",2016
"Kepler-1370 b","Transit",2016
"Kepler-1360 b","Transit",2016
"Kepler-1367 b","Transit",2016
"Kepler-1381 b","Transit",2016
"Kepler-1383 b","Transit",2016
"Kepler-1371 c","Transit",2016
"Kepler-1373 b","Transit",2016
"Kepler-1397 b","Transit",2016
"Kepler-1386 b","Transit",2016
"Kepler-1406 b","Transit",2016
"Kepler-1554 b","Transit",2016
"Kepler-1536 b","Transit",2016
"Kepler-1420 b","Transit",2016
"Kepler-1544 b","Transit",2016
"Kepler-1577 b","Transit",2016
"Kepler-1410 b","Transit",2016
"Kepler-1426 b","Transit",2016
"Kepler-1432 b","Transit",2016
"Kepler-1436 b","Transit",2016
"Kepler-142 b","Transit",2014
"Kepler-150 b","Transit",2014
"Kepler-1579 b","Transit",2016
"Kepler-15 b","Transit",2011
"Kepler-492 b","Transit",2016
"Kepler-1507 b","Transit",2016
"Kepler-1428 b","Transit",2016
"Kepler-1453 b","Transit",2016
"Kepler-495 b","Transit",2016
"Kepler-1438 b","Transit",2016
"Kepler-1465 b","Transit",2016
"Kepler-1469 b","Transit",2016
"Kepler-1528 b","Transit",2016
"Kepler-1550 b","Transit",2016
"Kepler-1468 b","Transit",2016
"Kepler-153 c","Transit",2014
"Kepler-1551 b","Transit",2016
"Kepler-1479 b","Transit",2016
"Kepler-1483 b","Transit",2016
"Kepler-1526 b","Transit",2016
"Kepler-1442 b","Transit",2016
"Kepler-153 b","Transit",2014
"Kepler-1494 b","Transit",2016
"Kepler-1566 b","Transit",2016
"Kepler-186 b","Transit",2014
"Kepler-188 c","Transit",2014
"Kepler-19 d","Radial Velocity",2017
"Kepler-725 b","Transit",2016
"Kepler-187 c","Transit",2014
"Kepler-188 b","Transit",2014
"Kepler-190 b","Transit",2014
"Kepler-653 b","Transit",2016
"Kepler-67 b","Transit",2013
"Kepler-728 b","Transit",2016
"Kepler-201 b","Transit",2014
"Kepler-1534 b","Transit",2016
"Kepler-1540 b","Transit",2016
"Kepler-1542 b","Transit",2016
"Kepler-1542 e","Transit",2016
"Kepler-1543 b","Transit",2016
"Kepler-1553 b","Transit",2016
"Kepler-1585 b","Transit",2016
"Kepler-1586 b","Transit",2016
"Kepler-732 b","Transit",2016
"Kepler-203 b","Transit",2014
"Kepler-207 c","Transit",2014
"Kepler-1570 b","Transit",2016
"Kepler-1575 b","Transit",2016
"Kepler-1522 b","Transit",2016
"Kepler-1525 b","Transit",2016
"Kepler-1546 b","Transit",2016
"Kepler-1547 b","Transit",2016
"Kepler-1555 b","Transit",2016
"Kepler-221 c","Transit",2014
"Kepler-605 b","Transit",2016
"Kepler-160 c","Transit",2014
"Kepler-1601 b","Transit",2016
"Kepler-1603 b","Transit",2016
"Kepler-158 c","Transit",2014
"Kepler-1443 b","Transit",2016
"Kepler-1447 b","Transit",2016
"Kepler-205 b","Transit",2014
"Kepler-1606 b","Transit",2016
"Kepler-1429 b","Transit",2016
"Kepler-606 b","Transit",2016
"Kepler-1593 b","Transit",2016
"Kepler-733 b","Transit",2016
"Kepler-1641 b","Transit",2016
"Kepler-57 c","Transit",2012
"Kepler-212 b","Transit",2014
"Kepler-221 e","Transit",2014
"Kepler-1641 c","Transit",2016
"Kepler-189 c","Transit",2014
"Kepler-160 b","Transit",2014
"Kepler-158 b","Transit",2014
"Kepler-572 b","Transit",2016
"Kepler-223 d","Transit",2014
"Kepler-646 b","Transit",2016
"Kepler-208 b","Transit",2014
"Kepler-161 b","Transit",2014
"Kepler-1587 b","Transit",2016
"Kepler-1588 b","Transit",2016
"Kepler-1589 b","Transit",2016
"Kepler-1613 b","Transit",2016
"Kepler-767 b","Transit",2016
"Kepler-229 b","Transit",2014
"Kepler-573 b","Transit",2016
"Kepler-208 d","Transit",2014
"Kepler-161 c","Transit",2014
"Kepler-216 b","Transit",2014
"Kepler-1611 b","Transit",2016
"Kepler-1618 b","Transit",2016
"Kepler-1614 b","Transit",2016
"Kepler-1612 b","Transit",2016
"Kepler-1631 b","Transit",2016
"Kepler-1615 b","Transit",2016
"Kepler-220 b","Transit",2014
"Kepler-1632 b","Transit",2016
"Kepler-1639 b","Transit",2016
"Kepler-208 e","Transit",2014
"Kepler-209 c","Transit",2014
"Kepler-210 b","Transit",2014
"Kepler-210 c","Transit",2014
"Kepler-221 b","Transit",2014
"Kepler-58 c","Transit",2012
"Kepler-184 d","Transit",2014
"Kepler-1668 b","Transit",2020
"Kepler-1669 b","Transit",2020
"Kepler-1630 b","Transit",2016
"Kepler-769 b","Transit",2016
"Kepler-241 c","Transit",2014
"Kepler-1649 b","Transit",2017
"Kepler-1653 b","Transit",2017
"Kepler-1686 b","Transit",2020
"Kepler-747 b","Transit",2016
"Kepler-191 d","Transit",2016
"Kepler-650 b","Transit",2016
"Kepler-167 d","Transit",2016
"Kepler-1674 b","Transit",2020
"Kepler-17 b","Transit",2011
"Kepler-195 c","Transit",2014
"Kepler-758 e","Transit",2016
"Kepler-60 d","Transit",2012
"Kepler-242 c","Transit",2014
"Kepler-1690 b","Transit",2020
"Kepler-1692 b","Transit",2020
"Kepler-1700 b","Transit",2020
"Kepler-1684 b","Transit",2020
"Kepler-1691 b","Transit",2020
"Kepler-172 c","Transit",2014
"Kepler-18 b","Transit",2011
"Kepler-704 b","Transit",2016
"Kepler-706 b","Transit",2016
"Kepler-707 b","Transit",2016
"Kepler-724 b","Transit",2016
"Kepler-196 b","Transit",2014
"Kepler-567 b","Transit",2016
"Kepler-327 c","Transit",2014
"Kepler-322 b","Transit",2014
"Kepler-313 b","Transit",2014
"Kepler-30 c","Transit",2012
"Kepler-301 d","Transit",2014
"Kepler-296 f","Transit",2014
"Kepler-297 b","Transit",2014
"Kepler-301 b","Transit",2014
"Kepler-275 b","Transit",2014
"Kepler-285 b","Transit",2014
"Kepler-287 b","Transit",2014
"Kepler-288 b","Transit",2014
"Kepler-150 e","Transit",2014
"Kepler-305 b","Transit",2013
"Kepler-305 e","Transit",2020
"Kepler-276 d","Transit",2013
"Kepler-244 d","Transit",2014
"Kepler-245 b","Transit",2014
"Kepler-212 c","Transit",2014
"Kepler-214 c","Transit",2014
"Kepler-215 b","Transit",2014
"Kepler-217 c","Transit",2014
"Kepler-229 d","Transit",2014
"Kepler-23 d","Transit",2014
"Kepler-236 b","Transit",2014
"Kepler-1456 b","Transit",2016
"Kepler-31 b","Transit",2011
"Kepler-32 e","Transit",2012
"Kepler-326 d","Transit",2014
"Kepler-238 c","Transit",2014
"Kepler-245 c","Transit",2014
"Kepler-205 c","Transit",2014
"Kepler-206 c","Transit",2014
"Kepler-208 c","Transit",2014
"Kepler-216 c","Transit",2014
"Kepler-224 c","Transit",2014
"Kepler-224 d","Transit",2014
"Kepler-243 c","Transit",2014
"Kepler-232 b","Transit",2014
"Kepler-245 d","Transit",2014
"Kepler-230 c","Transit",2014
"Kepler-24 b","Transit",2011
"Kepler-249 d","Transit",2014
"Kepler-24 d","Transit",2014
"Kepler-246 b","Transit",2014
"Kepler-246 c","Transit",2014
"Kepler-256 d","Transit",2014
"Kepler-26 d","Transit",2014
"Kepler-262 c","Transit",2014
"Kepler-1472 b","Transit",2016
"Kepler-228 c","Transit",2014
"Kepler-230 b","Transit",2014
"Kepler-254 c","Transit",2014
"Kepler-255 b","Transit",2014
"Kepler-256 b","Transit",2014
"Kepler-257 b","Transit",2014
"Kepler-257 d","Transit",2014
"Kepler-26 c","Transit",2011
"Kepler-258 b","Transit",2014
"Kepler-259 c","Transit",2014
"Kepler-26 e","Transit",2014
"Kepler-254 b","Transit",2014
"Kepler-265 b","Transit",2014
"Kepler-267 c","Transit",2014
"Kepler-1477 b","Transit",2016
"Kepler-306 e","Transit",2014
"Kepler-1473 b","Transit",2016
"Kepler-231 c","Transit",2014
"Kepler-265 e","Transit",2014
"Kepler-292 b","Transit",2014
"Kepler-271 c","Transit",2014
"Kepler-271 d","Transit",2016
"Kepler-286 c","Transit",2014
"Kepler-286 e","Transit",2014
"Kepler-271 b","Transit",2014
"Kepler-272 b","Transit",2014
"Kepler-278 b","Transit",2014
"Kepler-292 c","Transit",2014
"Kepler-282 b","Transit",2014
"Kepler-293 b","Transit",2014
"Kepler-275 d","Transit",2014
"Kepler-280 c","Transit",2014
"Kepler-282 c","Transit",2014
"Kepler-282 d","Transit",2013
"Kepler-283 b","Transit",2014
"Kepler-295 d","Transit",2014
"Kepler-289 c","Transit",2014
"Kepler-1417 b","Transit",2016
"Kepler-1474 b","Transit",2016
"Kepler-293 c","Transit",2014
"Kepler-302 b","Transit",2014
"Kepler-294 b","Transit",2014
"Kepler-295 c","Transit",2014
"Kepler-290 c","Transit",2014
"Kepler-291 b","Transit",2014
"Kepler-298 b","Transit",2014
"Kepler-311 c","Transit",2014
"Kepler-423 b","Transit",2014
"Kepler-447 b","Transit",2015
"Kepler-453 b","Transit",2015
"Kepler-481 b","Transit",2016
"Kepler-484 b","Transit",2016
"Kepler-392 c","Transit",2014
"GJ 273 c","Radial Velocity",2017
"Kepler-479 b","Transit",2016
"Kepler-498 b","Transit",2016
"Kepler-461 b","Transit",2016
"Kepler-489 b","Transit",2016
"Kepler-411 c","Transit",2016
"Kepler-334 d","Transit",2014
"Kepler-335 c","Transit",2014
"Kepler-336 d","Transit",2014
"Kepler-337 c","Transit",2014
"Kepler-339 d","Transit",2014
"Kepler-342 b","Transit",2014
"Kepler-343 c","Transit",2014
"Kepler-344 c","Transit",2014
"Kepler-35 b","Transit",2011
"Kepler-357 d","Transit",2014
"Kepler-472 b","Transit",2016
"Kepler-499 b","Transit",2016
"Kepler-348 b","Transit",2014
"Kepler-349 c","Transit",2014
"Kepler-323 b","Transit",2014
"Kepler-332 d","Transit",2014
"Kepler-377 c","Transit",2014
"Kepler-350 d","Transit",2013
"Kepler-1590 b","Transit",2016
"Kepler-355 b","Transit",2014
"Kepler-355 c","Transit",2014
"Kepler-350 b","Transit",2014
"Kepler-341 d","Transit",2014
"Kepler-345 c","Transit",2014
"Kepler-1492 b","Transit",2016
"Kepler-37 d","Transit",2013
"Kepler-427 b","Transit",2014
"Kepler-373 b","Transit",2014
"Kepler-373 c","Transit",2014
"Kepler-1508 b","Transit",2016
"Kepler-371 b","Transit",2014
"Kepler-383 b","Transit",2014
"Kepler-383 c","Transit",2014
"Kepler-365 b","Transit",2014
"Kepler-404 b","Transit",2014
"Kepler-387 b","Transit",2014
"Kepler-387 c","Transit",2014
"Kepler-388 b","Transit",2014
"Kepler-388 c","Transit",2014
"Kepler-354 d","Transit",2014
"Kepler-410 A b","Transit",2013
"Kepler-411 b","Transit",2013
"Kepler-431 c","Transit",2015
"Kepler-414 b","Transit Timing Variations",2014
"Kepler-418 b","Transit",2014
"Kepler-37 e","Transit Timing Variations",2014
"Kepler-411 d","Transit",2018
"Kepler-44 b","Transit",2011
"Kepler-421 b","Transit",2014
"Kepler-369 c","Transit",2014
"Kepler-37 c","Transit",2013
"Kepler-445 c","Transit",2015
"Kepler-358 c","Transit",2014
"Kepler-46 c","Transit Timing Variations",2012
"Kepler-47 c","Transit",2012
"Kepler-717 b","Transit",2016
"Kepler-721 b","Transit",2016
"Kepler-449 c","Transit",2015
"Kepler-450 c","Transit",2015
"Kepler-68 b","Transit",2013
"Kepler-75 b","Transit",2013
"Kepler-714 b","Transit",2016
"Kepler-69 b","Transit",2013
"Kepler-813 b","Transit",2016
"Kepler-702 b","Transit",2016
"Kepler-711 b","Transit",2016
"Kepler-673 b","Transit",2016
"Kepler-674 b","Transit",2016
"Kepler-694 b","Transit",2016
"Kepler-675 b","Transit",2016
"Kepler-715 b","Transit",2016
"Kepler-693 b","Transit",2016
"Kepler-685 b","Transit",2016
"Kepler-530 b","Transit",2016
"Kepler-54 b","Transit",2012
"Kepler-540 b","Transit",2016
"Kepler-548 b","Transit",2016
"Kepler-55 c","Transit",2012
"Kepler-523 b","Transit",2016
"Kepler-525 b","Transit",2016
"Kepler-788 b","Transit",2016
"Kepler-743 b","Transit",2016
"Kepler-844 b","Transit",2016
"Kepler-845 b","Transit",2016
"Kepler-848 b","Transit",2016
"Kepler-827 b","Transit",2016
"Kepler-828 b","Transit",2016
"Kepler-48 d","Transit",2014
"Kepler-483 b","Transit",2016
"Kepler-485 b","Transit",2016
"Kepler-516 b","Transit",2016
"Kepler-524 b","Transit",2016
"Kepler-524 c","Transit",2016
"Kepler-737 b","Transit",2016
"Kepler-738 b","Transit",2016
"Kepler-741 b","Transit",2016
"Kepler-764 b","Transit",2016
"Kepler-789 b","Transit",2016
"Kepler-745 b","Transit",2016
"Kepler-758 d","Transit",2016
"Kepler-770 d","Transit",2016
"Kepler-82 f","Transit Timing Variations",2019
"Kepler-746 b","Transit",2016
"Kepler-796 b","Transit",2016
"Kepler-765 b","Transit",2016
"Kepler-542 b","Transit",2016
"Kepler-549 b","Transit",2016
"Kepler-81 c","Transit",2012
"Kepler-810 b","Transit",2016
"Kepler-80 b","Transit",2012
"Kepler-758 b","Transit",2016
"Kepler-80 f","Transit",2016
"Kepler-553 c","Transit",2016
"Kepler-766 b","Transit",2016
"Kepler-770 c","Transit",2016
"Kepler-778 b","Transit",2016
"Kepler-783 b","Transit",2016
"Kepler-784 b","Transit",2016
"Kepler-801 b","Transit",2016
"Kepler-744 b","Transit",2016
"Kepler-283 c","Transit",2014
"Kepler-830 b","Transit",2016
"Kepler-797 b","Transit",2016
"Kepler-758 c","Transit",2016
"Kepler-798 b","Transit",2016
"Kepler-799 b","Transit",2016
"Kepler-589 b","Transit",2016
"Kepler-57 b","Transit",2012
"Kepler-593 b","Transit",2016
"Kepler-76 b","Orbital Brightness Modulation",2013
"Kepler-831 b","Transit",2016
"Kepler-58 d","Transit",2014
"Kepler-581 b","Transit",2016
"Kepler-585 b","Transit",2016
"Kepler-59 c","Transit",2012
"Kepler-591 b","Transit",2016
"Kepler-8 b","Transit",2010
"Kepler-812 b","Transit",2016
"Kepler-651 b","Transit",2016
"Kepler-790 b","Transit",2016
"Kepler-615 b","Transit",2016
"Kepler-793 b","Transit",2016
"Kepler-794 b","Transit",2016
"Kepler-802 b","Transit",2016
"Kepler-825 b","Transit",2016
"Kepler-284 c","Transit",2014
"Kepler-679 b","Transit",2016
"Kepler-777 b","Transit",2016
"Kepler-611 b","Transit",2016
"Kepler-637 b","Transit",2016
"Kepler-639 b","Transit",2016
"Kepler-760 b","Transit",2016
"Kepler-814 b","Transit",2016
"Kepler-605 c","Transit",2016
"Kepler-805 b","Transit",2016
"Kepler-731 b","Transit",2016
"Kepler-712 b","Transit",2016
"Kepler-722 b","Transit",2016
"Kepler-680 b","Transit",2016
"Kepler-85 e","Transit",2014
"Kepler-616 b","Transit",2016
"Kepler-618 b","Transit",2016
"Kepler-769 c","Transit",2016
"Kepler-277 c","Transit",2013
"Kepler-712 c","Transit",2016
"Kepler-887 b","Transit",2016
"Kepler-74 b","Transit",2013
"Kepler-701 b","Transit",2016
"Kepler-740 b","Transit",2016
"Kepler-696 b","Transit",2016
"Kepler-686 b","Transit",2016
"BD+14 4559 b","Radial Velocity",2009
"Kepler-785 b","Transit",2016
"Kepler-653 c","Transit",2016
"Kepler-656 b","Transit",2016
"Kepler-66 b","Transit",2013
"Kepler-682 b","Transit",2016
"Kepler-815 b","Transit",2016
"Kepler-82 c","Transit",2012
"Kepler-834 b","Transit",2016
"Kepler-907 b","Transit",2016
"Kepler-850 b","Transit",2016
"Kepler-930 b","Transit",2016
"Kepler-978 b","Transit",2016
"Kepler-979 b","Transit",2016
"Kepler-783 c","Transit",2020
"Kepler-963 b","Transit",2016
"Kepler-752 b","Transit",2016
"Kepler-755 b","Transit",2016
"Kepler-774 b","Transit",2016
"Kepler-808 b","Transit",2016
"Kepler-748 b","Transit",2016
"Kepler-772 b","Transit",2016
"Kepler-776 b","Transit",2016
"Kepler-795 b","Transit",2016
"Kepler-804 c","Transit",2016
"Kepler-967 c","Transit",2016
"Kepler-968 c","Transit",2016
"Kepler-734 b","Transit",2016
"Kepler-750 b","Transit",2016
"Kepler-750 c","Transit",2016
"Kepler-757 b","Transit",2016
"Kepler-761 b","Transit",2016
"Kepler-763 b","Transit",2016
"NGC 2682 YBP 1194 b","Radial Velocity",2014
"Kepler-869 b","Transit",2016
"Kepler-81 b","Transit",2012
"Kepler-877 b","Transit",2016
"Kepler-932 b","Transit",2016
"Kepler-854 b","Transit",2016
"Kepler-779 b","Transit",2016
"Kepler-878 b","Transit",2016
"Kepler-855 b","Transit",2016
"Kepler-92 d","Transit",2015
"Kepler-824 b","Transit",2016
"Kepler-879 b","Transit",2016
"Kepler-856 b","Transit",2016
"Kepler-818 b","Transit",2016
"Kepler-914 b","Transit",2016
"Kepler-857 b","Transit",2016
"Kepler-851 b","Transit",2016
"Kepler-807 b","Transit",2016
"Kepler-826 b","Transit",2016
"Kepler-927 b","Transit",2016
"Kepler-862 b","Transit",2016
"OGLE-2008-BLG-092L b","Microlensing",2014
"Kepler-836 b","Transit",2016
"Kepler-860 b","Transit",2016
"Kepler-873 b","Transit",2016
"Kepler-874 b","Transit",2016
"Kepler-936 b","Transit",2016
"Kepler-863 b","Transit",2016
"Kepler-915 b","Transit",2016
"Kepler-949 b","Transit",2016
"Kepler-951 b","Transit",2016
"Kepler-82 b","Transit",2012
"Kepler-867 b","Transit",2016
"Kepler-833 b","Transit",2016
"Kepler-870 b","Transit",2016
"Kepler-864 b","Transit",2016
"Kepler-865 b","Transit",2016
"Kepler-905 b","Transit",2016
"Kepler-887 c","Transit",2016
"Kepler-9 d","Transit",2010
"Kepler-871 b","Transit",2016
"Kepler-880 b","Transit",2016
"Kepler-894 b","Transit",2016
"Kepler-9 b","Transit",2010
"Kepler-90 i","Transit",2017
"Kepler-882 b","Transit",2016
"Kepler-883 b","Transit",2016
"Kepler-92 b","Transit",2013
"Kepler-920 b","Transit",2016
"Kepler-929 b","Transit",2016
"Kepler-47 b","Transit",2012
"Kepler-901 b","Transit",2016
"Kepler-903 b","Transit",2016
"Kepler-937 b","Transit",2016
"Kepler-933 b","Transit",2016
"Kepler-934 b","Transit",2016
"Kepler-947 b","Transit",2016
"Kepler-858 b","Transit",2016
"Kepler-940 b","Transit",2016
"Kepler-912 b","Transit",2016
"Kepler-917 b","Transit",2016
"Kepler-920 c","Transit",2016
"Kepler-93 c","Radial Velocity",2014
"Kepler-96 b","Transit",2014
"Kepler-967 b","Transit",2016
"Kepler-85 d","Transit",2014
"WASP-11 b","Transit",2008
"WASP-113 b","Transit",2016
"WASP-114 b","Transit",2016
"TOI-1266 b","Transit",2020
"Kepler-835 b","Transit",2016
"CoRoT-27 b","Transit",2014
"K2-131 b","Transit",2017
"TOI-421 b","Transit",2020
"WASP-13 b","Transit",2009
"USco1621 b","Imaging",2019
"Kepler-983 b","Transit",2016
"Kepler-987 b","Transit",2016
"Kepler-989 b","Transit",2016
"Kepler-997 b","Transit",2016
"Kepler-991 b","Transit",2016
"L 168-9 b","Transit",2020
"L 98-59 b","Transit",2019
"MOA-2007-BLG-400L b","Microlensing",2008
"MOA-2008-BLG-310L b","Microlensing",2009
"TOI-421 c","Transit",2020
"Kepler-809 b","Transit",2016
"V1298 Tau b","Transit",2019
"Kepler-941 b","Transit",2016
"LHS 3844 b","Transit",2019
"Kepler-97 b","Transit",2014
"Kepler-972 b","Transit",2016
"Kepler-973 b","Transit",2016
"Kepler-990 c","Transit",2016
"Kepler-998 b","Transit",2016
"MOA-2012-BLG-505L b","Microlensing",2017
"Kepler-959 b","Transit",2016
"Kepler-888 b","Transit",2016
"Kepler-994 b","Transit",2016
"NGTS-6 b","Transit",2019
"Kepler-966 b","Transit",2016
"NY Vir b","Eclipse Timing Variations",2011
"NY Vir c","Eclipse Timing Variations",2019
"MOA-2011-BLG-322L b","Microlensing",2013
"MOA-2015-BLG-337L b","Microlensing",2018
"OGLE-2011-BLG-0265L b","Microlensing",2015
"Kepler-462 c","Transit",2020
"Kepler-760 c","Transit",2016
"MOA-2012-BLG-006L b","Microlensing",2017
"NGC 2682 Sand 364 b","Radial Velocity",2014
"NGTS-11 b","Transit",2020
"NGTS-13 b","Transit",2021
"NGTS-14 A b","Transit",2021
"HD 20781 d","Radial Velocity",2019
"GJ 832 c","Radial Velocity",2014
"HD 60292 b","Radial Velocity",2020
"OGLE-2013-BLG-0911L b","Microlensing",2019
"OGLE-2013-BLG-0341L B b","Microlensing",2014
"Kepler-464 b","Transit",2016
"Kepler-993 b","Transit",2016
"OGLE-2005-BLG-390L b","Microlensing",2005
"V1298 Tau e","Transit",2019
"Kepler-1043 b","Transit",2016
"OGLE-2013-BLG-0132L b","Microlensing",2017
"V1298 Tau d","Transit",2019
"OGLE-TR-211 b","Transit",2007
"OGLE-2017-BLG-1375L b","Microlensing",2020
"OGLE-2017-BLG-1434L b","Microlensing",2018
"Qatar-10 b","Transit",2019
"Kepler-1027 b","Transit",2016
"TOI-813 b","Transit",2020
"ROXs 12 b","Imaging",2013
"Oph 11 b","Imaging",2006
"TYC 1422-614-1 b","Radial Velocity",2014
"TOI-1333 b","Transit",2021
"TOI-178 c","Transit",2021
"PSR B1257+12 c","Pulsar Timing",1992
"PSR B1257+12 d","Pulsar Timing",1992
"TYC 0434-04538-1 b","Radial Velocity",2021
"TYC 1422-614-1 c","Radial Velocity",2014
"TYC 4282-00605-1 b","Radial Velocity",2017
"Qatar-2 b","Transit",2011
"TOI-125 d","Transit",2020
"TrES-5 b","Transit",2011
"TOI-824 b","Transit",2020
"SWEEPS-11 b","Transit",2006
"pi Men c","Transit",2018
"YZ Cet b","Radial Velocity",2017
"HD 114783 c","Radial Velocity",2018
"TOI-849 b","Transit",2020
"TRAPPIST-1 b","Transit",2016
"Kepler-895 b","Transit",2016
"HATS-46 b","Transit",2018
"WASP-124 b","Transit",2016
"WASP-139 b","Transit",2016
"WASP-158 b","Transit",2018
"WASP-159 b","Transit",2018
"WASP-160 B b","Transit",2018
"WASP-165 b","Transit",2018
"75 Cet b","Radial Velocity",2012
"Kepler-762 b","Transit",2016
"WASP-32 b","Transit",2010
"WASP-167 b","Transit",2017
"WASP-169 b","Transit",2019
"WASP-170 b","Transit",2018
"Kepler-266 b","Transit",2014
"WASP-178 b","Transit",2019
"K2-243 b","Transit",2018
"HATS-63 b","Transit",2018
"Kepler-197 b","Transit",2014
"EPIC 201615463 c","Transit",2019
"HD 128356 b","Radial Velocity",2016
"TOI-270 d","Transit",2019
"GJ 667 C g","Radial Velocity",2013
"WASP-22 b","Transit",2010
"HD 215152 c","Radial Velocity",2018
"K2-185 b","Transit",2018
"GJ 3082 b","Radial Velocity",2020
"WASP-80 b","Transit",2012
"K2-32 e","Transit",2019
"HD 331093 b","Radial Velocity",2021
"TOI-1231 b","Transit",2021
"TOI-1444 b","Transit",2021
"TOI-220 b","Transit",2021
"YSES 2 b","Imaging",2021
"BD+45 564 b","Radial Velocity",2021
"BD+63 1405 b","Radial Velocity",2021
"HD 124330 b","Radial Velocity",2021
